id,ad_ry_mean,md_ry_mean,bt_ry_mean
165,476,650,453
166,140,232,152
167,116,184,124
168,190,295,196
169,299,416,293
170,201,300,202
171,164,282,185
172,102,146,100
173,35,55,35
174,58,84,63
175,94,153,107
176,20,27,19
177,521,560,585
178,365,335,367
179,302,257,322
180,363,350,355
181,814,700,840
182,826,755,835
183,982,868,997
184,334,273,343
185,692,726,741
186,304,268,328
187,1205,1188,1209
188,848,759,853
189,637,532,622
190,1009,840,1039
191,761,745,807
192,1140,1008,1163
193,981,899,1032
194,411,375,430
195,285,243,277
196,365,365,387
197,345,309,335
198,152,129,159
199,362,443,444
200,244,254,259
201,279,272,281
202,81,91,81
203,1057,1014,1091
204,953,940,953
205,1764,1630,1802
206,320,323,365
207,892,795,863
208,439,429,494
209,2064,1834,2052
210,809,820,786
211,959,800,886
212,1675,1416,1677
213,1155,1056,1199
214,796,794,787
215,859,832,919
216,557,558,561
217,225,219,240
218,316,363,359
219,390,417,432
220,135,124,118
221,97,105,105
222,339,334,356
223,236,218,244
224,258,331,254
225,1005,1052,1082
226,658,737,707
227,1432,1420,1533
228,533,540,529
229,865,851,908
230,566,543,608
231,931,894,926
232,676,733,763
233,958,912,943
234,1701,1705,1841
235,1191,1153,1199
236,944,961,997
237,873,959,1000
238,546,604,627
239,156,171,168
240,459,485,487
241,864,850,921
242,112,112,109
243,54,56,60
244,391,427,403
245,289,302,298
246,70,69,70
247,840,876,836
248,503,549,502
249,1112,1129,1146
250,676,712,661
251,711,731,732
252,459,472,457
253,491,518,501
254,425,493,472
255,1264,1183,1202
256,1375,1366,1314
257,506,496,482
258,519,558,518
259,620,679,648
260,252,304,299
261,276,279,257
262,333,351,320
263,725,759,723
264,180,182,182
265,98,117,111
266,778,815,879
267,527,489,549
268,97,101,93
269,1203,1121,1297
270,1005,1041,1103
271,1575,1349,1650
272,644,543,664
273,708,792,774
274,594,541,640
275,1080,1167,1083
276,740,767,862
277,1463,1272,1614
278,1679,1461,1823
279,828,875,857
280,958,973,1010
281,769,828,960
282,433,404,514
283,334,298,346
284,422,453,469
285,699,751,796
286,496,430,512
287,233,236,272
288,895,805,934
289,591,527,666
290,210,206,204
291,1560,1191,1593
292,1412,1208,1487
293,2581,1993,2449
294,620,493,613
295,1251,1063,1262
296,598,469,607
297,2011,1585,1951
298,992,822,975
299,1743,1250,1727
300,2867,2153,2916
301,1305,1136,1247
302,1404,1175,1454
303,1442,1149,1484
304,522,457,540
305,593,472,617
306,700,656,718
307,726,629,743
308,477,373,498
309,674,699,721
310,469,479,459
311,532,532,502
312,629,653,624
313,767,814,801
314,826,946,884
315,1190,1232,1208
316,728,837,755
317,397,429,429
318,219,227,229
319,1388,1359,1344
320,406,455,451
321,1241,1273,1306
322,1046,1081,1061
323,640,669,664
324,403,429,423
325,513,555,566
326,264,318,305
327,215,218,219
328,445,488,444
329,552,607,589
330,109,120,102
331,58,56,53
332,1062,959,1034
333,670,597,629
334,190,201,177
335,2049,1784,1964
336,391,378,384
337,2170,1983,2169
338,803,682,781
339,1238,1122,1174
340,464,385,458
341,663,570,621
342,383,349,382
343,2309,1905,2158
344,1474,1350,1529
345,569,496,534
346,464,452,451
347,1143,1052,1146
348,466,444,450
349,724,635,654
350,242,223,228
351,596,555,596
352,980,818,912
353,926,931,951
354,655,608,660
355,378,354,385
356,235,254,218
357,1532,1418,1506
358,1478,1369,1444
359,2145,1896,2094
360,758,696,644
361,803,707,765
362,348,306,341
363,2471,1980,2317
364,911,887,944
365,2143,1767,1983
366,2962,2598,2943
367,1123,980,1034
368,911,872,898
369,1196,1056,1244
370,641,552,575
371,295,269,273
372,586,582,604
373,726,741,758
374,215,195,196
375,231,259,267
376,526,499,536
377,545,537,542
378,98,89,91
379,1002,1010,1073
380,776,833,797
381,2048,2089,2134
382,846,875,839
383,398,407,451
384,239,210,242
385,957,960,997
386,416,406,462
387,1788,1752,1875
388,1514,1439,1608
389,478,467,504
390,270,286,291
391,442,514,509
392,323,302,317
393,491,495,464
394,259,267,267
395,687,688,659
396,523,478,478
397,322,314,336
398,439,441,438
399,529,500,524
400,960,1002,925
401,1185,1168,1186
402,730,753,763
403,1762,1834,1798
404,487,503,493
405,906,915,927
406,263,252,262
407,1196,1178,1186
408,390,403,413
409,1680,1662,1705
410,1615,1635,1711
411,771,748,796
412,696,745,744
413,534,556,583
414,661,593,632
415,795,755,761
416,421,394,407
417,620,640,651
418,901,942,862
419,363,389,374
420,338,372,354
421,120,121,114
422,164,183,172
423,553,563,545
424,540,592,572
425,712,756,741
426,96,99,90
427,545,595,555
428,161,211,178
429,836,937,912
430,397,445,396
431,442,451,444
432,473,494,461
433,866,886,873
434,485,499,487
435,518,577,555
436,261,325,305
437,163,158,164
438,236,232,237
439,210,214,200
440,124,130,131
441,304,288,320
442,381,351,394
443,357,321,354
444,250,262,252
445,1483,1269,1505
446,920,895,981
447,1460,1261,1467
448,404,366,378
449,621,525,627
450,274,247,288
451,1658,1343,1593
452,469,447,482
453,1903,1558,1823
454,2029,1731,2102
455,1094,1003,1103
456,742,697,704
457,645,572,681
458,430,388,444
459,445,383,432
460,320,320,339
461,453,442,466
462,347,305,331
463,596,576,651
464,254,215,244
465,240,160,215
466,341,337,441
467,616,465,607
468,525,460,521
469,1194,892,1072
470,228,151,215
471,487,370,450
472,168,135,156
473,1262,1049,1228
474,323,253,313
475,1101,763,1011
476,962,672,958
477,1038,866,1005
478,356,321,397
479,297,286,376
480,267,249,282
481,220,162,194
482,125,117,115
483,292,279,326
484,220,152,207
485,57,91,80
486,79,92,83
487,82,109,84
488,54,78,72
489,184,264,200
490,355,467,402
491,667,783,612
492,240,269,247
493,136,183,134
494,83,108,100
495,248,294,238
496,93,122,106
497,515,664,507
498,342,462,349
499,103,138,86
500,207,277,260
501,188,273,242
502,74,98,83
503,120,161,157
504,92,131,106
505,130,163,155
506,94,125,107
507,767,765,813
508,231,254,265
509,114,129,126
510,628,685,624
511,566,640,607
512,411,446,417
513,570,635,564
514,142,197,152
515,1040,1093,1110
516,174,211,193
517,1467,1462,1424
518,289,343,317
519,420,486,441
520,371,432,379
521,1284,1237,1270
522,446,489,442
523,347,394,364
524,515,553,552
525,263,294,298
526,236,243,260
527,249,278,271
528,95,108,101
529,293,331,309
530,208,241,206
531,93,115,91
532,239,319,252
533,373,500,387
534,237,310,253
535,307,425,334
536,96,124,103
537,481,651,490
538,105,154,107
539,804,953,794
540,151,212,154
541,239,326,263
542,224,304,236
543,647,843,665
544,301,412,321
545,219,301,244
546,276,342,299
547,120,148,124
548,158,190,162
549,145,186,152
550,70,92,73
551,671,634,635
552,325,335,321
553,125,139,129
554,826,927,819
555,645,721,653
556,331,374,341
557,556,673,570
558,165,176,161
559,960,1133,996
560,177,213,186
561,1053,1284,1084
562,219,253,235
563,335,389,341
564,387,477,396
565,970,1100,955
566,516,563,524
567,341,413,340
568,410,432,440
569,266,279,262
570,297,302,283
571,274,292,278
572,103,115,109
573,110,151,108
574,38,57,37
575,22,27,21
576,75,96,87
577,112,148,123
578,57,85,57
579,127,168,132
580,24,32,23
581,134,182,128
582,32,45,33
583,261,332,252
584,35,48,31
585,73,97,80
586,73,91,72
587,237,349,244
588,63,90,62
589,48,69,49
590,45,68,43
591,33,50,32
592,31,46,29
593,45,69,48
594,19,23,19
595,406,424,430
596,234,236,232
597,155,168,145
598,408,473,413
599,630,702,638
600,400,468,372
601,581,721,565
602,151,184,142
603,611,632,628
604,160,177,147
605,1038,1059,1062
606,266,311,247
607,426,535,436
608,410,486,381
609,1081,1094,1031
610,414,479,415
611,366,448,398
612,289,317,298
613,262,289,258
614,221,215,221
615,280,344,290
616,115,134,114
617,235,245,248
618,113,130,107
619,100,117,97
620,186,210,178
621,287,321,279
622,189,216,188
623,350,384,334
624,85,103,89
625,424,458,407
626,79,109,85
627,576,650,531
628,152,176,150
629,207,235,204
630,207,244,204
631,613,635,574
632,290,318,285
633,182,233,187
634,178,207,189
635,111,124,112
636,88,103,81
637,120,136,113
638,54,62,57
639,413,411,423
640,237,248,246
641,148,152,156
642,584,614,619
643,602,592,633
644,315,338,333
645,594,600,588
646,113,115,121
647,975,958,956
648,170,192,178
649,992,1014,996
650,257,276,268
651,386,397,408
652,342,349,352
653,917,930,908
654,447,468,465
655,354,384,389
656,253,279,299
657,272,258,269
658,197,220,206
659,248,251,237
660,85,91,93
661,317,317,339
662,182,201,197
663,56,67,56
664,452,491,444
665,524,618,553
666,296,344,292
667,460,538,484
668,56,80,57
669,872,931,902
670,142,175,161
671,944,938,951
672,163,192,164
673,373,421,366
674,350,425,365
675,1127,1057,1112
676,275,334,291
677,305,376,322
678,289,318,298
679,126,143,125
680,173,183,180
681,169,184,169
682,44,55,43
683,183,198,206
684,585,543,545
685,151,149,156
686,63,70,61
687,429,395,409
688,1176,1184,1153
689,1456,1472,1428
690,443,383,418
691,2128,1900,2040
692,1436,1359,1353
693,1064,936,1031
694,506,446,489
695,910,817,918
696,2495,2205,2471
697,507,520,489
698,652,629,620
699,668,714,693
700,322,307,332
701,349,327,334
702,153,150,153
703,519,503,502
704,365,330,321
705,385,393,419
706,202,197,199
707,209,232,206
708,87,83,96
709,557,565,556
710,303,321,281
711,754,765,734
712,156,169,154
713,186,198,193
714,116,131,112
715,893,944,813
716,247,268,249
717,512,517,481
718,446,470,441
719,435,455,410
720,221,235,217
721,358,381,347
722,199,209,209
723,81,84,74
724,128,137,124
725,448,468,449
726,84,83,76
727,362,386,400
728,178,215,155
729,65,86,58
730,125,161,135
731,252,375,266
732,159,214,156
733,281,434,286
734,73,116,65
735,111,170,119
736,52,69,52
737,391,542,390
738,87,136,83
739,203,303,212
740,223,336,224
741,275,392,271
742,114,162,110
743,141,197,152
744,92,130,93
745,49,73,45
746,88,120,90
747,143,194,147
748,38,50,34
749,382,373,437
750,132,120,131
751,170,196,175
752,593,630,572
753,569,669,593
754,411,452,429
755,966,1068,883
756,250,306,238
757,1454,1621,1518
758,338,378,346
759,1060,1096,1051
760,405,468,407
761,605,724,608
762,527,621,528
763,878,877,941
764,625,742,683
765,574,683,608
766,718,718,701
767,348,347,347
768,424,426,415
769,303,332,301
770,456,481,464
771,331,327,335
772,458,437,452
773,588,517,611
774,667,608,633
775,864,815,913
776,410,380,387
777,927,873,895
778,383,334,400
779,1525,1478,1507
780,405,355,416
781,833,886,827
782,472,439,498
783,974,909,1007
784,887,863,893
785,711,803,756
786,1390,1341,1372
787,704,671,751
788,447,437,508
789,661,612,664
790,609,607,612
791,668,660,717
792,401,373,420
793,102,123,107
794,150,175,148
795,121,138,124
796,73,90,70
797,292,356,271
798,175,226,181
799,301,380,288
800,115,170,111
801,492,574,493
802,130,171,146
803,485,565,476
804,225,285,245
805,250,341,249
806,356,454,332
807,451,506,463
808,224,289,238
809,280,344,287
810,174,211,190
811,113,144,126
812,139,154,128
813,128,166,127
814,74,96,74
815,352,365,347
816,343,298,322
817,339,351,336
818,247,303,260
819,829,770,788
820,680,674,642
821,1749,1607,1835
822,793,753,728
823,4642,3879,4340
824,1238,1115,1181
825,1779,1601,1825
826,1002,983,1028
827,1337,1223,1363
828,1443,1435,1592
829,1117,1046,1171
830,906,937,894
831,1264,1259,1302
832,926,905,916
833,1037,1004,973
834,383,431,389
835,383,410,406
836,631,586,578
837,219,271,270
838,469,443,460
839,350,325,378
840,273,327,293
841,446,435,494
842,449,458,493
843,954,908,999
844,457,387,478
845,2019,1837,1994
846,340,321,344
847,856,927,878
848,386,403,430
849,810,750,818
850,1134,1008,1129
851,699,736,728
852,1112,1103,1196
853,585,593,687
854,487,541,578
855,569,511,596
856,237,263,246
857,409,393,428
858,427,370,443
859,174,198,203
860,392,392,383
861,252,231,266
862,125,133,127
863,422,387,417
864,476,430,480
865,705,621,717
866,260,223,287
867,1802,1559,1713
868,368,339,352
869,870,887,895
870,333,338,367
871,611,529,652
872,752,658,775
873,799,768,776
874,780,718,823
875,415,407,467
876,444,456,500
877,320,304,340
878,199,203,192
879,269,251,274
880,224,196,233
881,232,302,279
882,42,66,42
883,37,50,41
884,246,339,290
885,51,75,54
886,89,144,91
887,321,469,318
888,131,226,139
889,789,1238,820
890,39,53,40
891,429,665,446
892,54,90,58
893,296,421,309
894,186,291,183
895,404,569,419
896,90,136,95
897,55,85,56
898,92,142,105
899,132,214,135
900,34,50,36
901,49,74,56
902,65,92,72
903,181,220,206
904,324,321,324
905,137,131,146
906,133,140,131
907,503,428,497
908,327,294,326
909,560,501,564
910,232,202,233
911,2180,1873,1870
912,300,288,306
913,616,626,642
914,314,347,344
915,511,428,496
916,476,428,505
917,708,671,675
918,647,588,667
919,432,418,472
920,503,524,536
921,283,249,268
922,202,216,215
923,238,205,224
924,148,134,152
925,288,275,332
926,124,133,131
927,152,166,166
928,354,378,373
929,408,421,408
930,334,317,356
931,734,803,794
932,277,302,306
933,1770,1712,1745
934,142,148,152
935,795,848,858
936,198,223,221
937,721,748,745
938,457,486,488
939,962,975,1039
940,464,506,496
941,411,458,465
942,338,349,370
943,442,474,489
944,152,160,175
945,210,218,201
946,229,224,244
947,250,271,253
948,72,95,62
949,54,74,56
950,430,544,417
951,308,411,318
952,137,182,148
953,289,372,281
954,55,76,54
955,354,548,346
956,56,87,62
957,317,423,277
958,90,141,88
959,191,245,182
960,152,212,149
961,133,201,132
962,179,235,176
963,188,265,190
964,109,162,110
965,99,139,103
966,153,208,143
967,179,217,180
968,62,93,62
969,105,132,122
970,109,118,101
971,68,78,74
972,30,40,34
973,162,226,157
974,282,383,320
975,427,522,416
976,90,103,89
977,449,549,461
978,57,79,77
979,570,610,516
980,274,324,284
981,277,334,276
982,475,594,469
983,486,566,503
984,214,289,254
985,191,287,243
986,156,193,170
987,58,68,66
988,53,73,62
989,100,130,107
990,38,44,41
991,80,130,100
992,66,98,69
993,36,55,40
994,50,81,62
995,100,142,98
996,136,218,139
997,332,428,338
998,24,40,25
999,39,59,42
1000,24,42,27
1001,181,284,180
1002,83,138,100
1003,194,273,186
1004,161,239,143
1005,178,261,176
1006,147,239,157
1007,184,308,212
1008,60,95,70
1009,41,77,48
1010,32,52,35
1011,85,133,93
1012,30,36,30
1013,301,316,362
1014,138,151,154
1015,82,81,81
1016,129,125,126
1017,665,715,728
1018,691,802,715
1019,778,847,831
1020,135,140,146
1021,756,757,802
1022,182,195,199
1023,1636,1738,1745
1024,492,552,582
1025,459,476,479
1026,1474,1588,1500
1027,1087,1049,1159
1028,542,600,561
1029,465,545,520
1030,367,406,418
1031,138,133,131
1032,307,316,319
1033,257,290,278
1034,74,78,72
1035,45,39,46
1036,213,259,209
1037,257,284,247
1038,49,46,52
1039,360,438,342
1040,282,308,253
1041,790,827,804
1042,431,423,403
1043,254,330,283
1044,267,256,280
1045,276,326,285
1046,203,236,242
1047,873,1019,898
1048,670,772,663
1049,402,427,387
1050,194,187,184
1051,266,287,282
1052,177,200,217
1053,340,347,361
1054,80,74,82
1055,229,296,256
1056,220,230,225
1057,299,314,333
1058,264,286,293
1059,192,199,203
1060,223,251,235
1061,503,511,562
1062,741,754,712
1063,718,704,689
1064,200,192,215
1065,550,543,552
1066,168,175,181
1067,953,891,925
1068,547,545,603
1069,685,692,691
1070,1122,1104,1116
1071,986,950,965
1072,604,598,623
1073,480,515,533
1074,304,337,351
1075,159,133,153
1076,211,238,233
1077,322,302,318
1078,94,92,104
1079,184,222,202
1080,164,185,162
1081,38,35,36
1082,55,58,57
1083,291,315,312
1084,217,270,248
1085,313,355,333
1086,54,53,51
1087,313,321,311
1088,101,122,113
1089,532,569,548
1090,211,227,212
1091,323,338,323
1092,369,369,376
1093,313,355,353
1094,167,202,193
1095,189,239,239
1096,210,222,205
1097,46,44,43
1098,130,149,119
1099,146,183,167
1100,37,33,39
1123,254,251,267
1124,205,212,202
1125,39,48,38
1126,76,83,78
1127,538,642,586
1128,473,543,492
1129,385,479,400
1130,48,67,50
1131,909,932,979
1132,192,229,194
1133,1057,1069,1035
1134,273,299,275
1135,347,412,350
1136,533,661,583
1137,735,750,710
1138,372,470,409
1139,336,451,388
1140,379,424,381
1141,68,85,67
1142,257,275,270
1143,167,199,179
1144,38,49,40
1145,303,318,290
1146,366,400,357
1147,194,213,186
1148,425,432,380
1149,577,668,594
1150,286,305,269
1151,610,697,609
1152,174,179,162
1153,930,1097,890
1154,202,241,205
1155,575,660,544
1156,223,243,203
1157,545,604,522
1158,510,558,490
1159,384,428,360
1160,390,452,379
1161,419,469,421
1162,204,207,188
1163,226,245,223
1164,403,435,386
1165,303,326,281
1166,237,254,230
1167,165,182,195
1168,185,201,206
1169,120,131,126
1170,78,75,83
1171,536,557,536
1172,660,778,690
1173,754,898,795
1174,183,198,193
1175,533,565,534
1176,259,271,265
1177,842,942,837
1178,305,400,361
1179,516,539,519
1180,1295,1367,1253
1181,429,454,423
1182,336,383,342
1183,476,603,509
1184,289,366,335
1185,92,106,98
1186,246,279,263
1187,352,435,377
1188,64,73,67
1189,63,81,65
1190,109,136,106
1191,138,174,142
1192,50,67,56
1193,141,197,144
1194,169,237,174
1195,422,522,406
1196,114,140,107
1197,62,89,67
1198,43,55,46
1199,114,172,110
1200,152,204,145
1201,235,305,244
1202,368,517,378
1203,79,126,81
1204,178,248,183
1205,424,583,443
1206,49,60,48
1207,67,90,71
1208,118,162,119
1209,285,371,320
1210,79,102,78
1211,116,132,119
1212,353,316,350
1213,319,311,338
1214,107,108,102
1215,921,877,897
1216,367,366,383
1217,615,595,607
1218,477,495,494
1219,426,420,438
1220,212,242,245
1221,514,505,517
1222,306,343,369
1223,912,881,938
1224,755,794,782
1225,330,345,336
1226,315,336,353
1227,461,529,517
1228,179,171,194
1229,148,142,154
1230,534,527,540
1231,597,559,603
1232,115,105,111
1233,258,286,289
1234,568,510,602
1235,475,413,495
1236,206,210,196
1237,1231,1001,1353
1238,550,527,640
1239,748,690,827
1240,385,310,394
1241,820,833,910
1242,327,260,324
1243,1109,1024,1176
1244,390,381,405
1245,939,771,1028
1246,1227,1048,1368
1247,796,723,811
1248,513,482,564
1249,840,795,948
1250,374,337,370
1251,201,175,201
1252,1068,1005,1136
1253,703,629,708
1254,189,148,190
1255,37,40,39
1256,760,1021,757
1257,77,83,74
1258,64,70,59
1259,435,554,486
1260,219,286,215
1261,307,385,336
1262,102,132,97
1263,344,468,369
1264,51,59,52
1265,481,587,471
1266,105,128,107
1267,465,528,492
1268,781,989,797
1269,239,293,250
1270,361,513,396
1271,256,336,258
1272,100,118,107
1273,126,158,138
1274,487,481,463
1275,159,189,168
1276,41,45,38
1277,84,91,81
1278,128,166,140
1279,76,116,85
1280,64,88,74
1281,463,570,509
1282,140,191,146
1283,299,397,323
1284,130,179,142
1285,192,277,228
1286,118,186,144
1287,341,416,321
1288,126,179,126
1289,421,477,449
1290,400,541,453
1291,223,295,217
1292,82,118,88
1293,269,363,289
1294,104,130,95
1295,26,35,27
1296,327,411,364
1297,293,349,307
1298,17,22,18
1299,259,319,299
1300,75,99,83
1301,107,134,101
1302,53,61,57
1303,301,376,320
1304,479,591,502
1305,462,540,484
1306,152,225,173
1307,303,386,340
1308,184,227,211
1309,823,938,777
1310,367,477,415
1311,333,421,346
1312,964,1124,976
1313,376,444,371
1314,316,413,348
1315,351,482,405
1316,127,176,145
1317,60,74,55
1318,84,104,86
1319,220,280,257
1320,21,26,22
1321,102,131,109
1322,115,145,109
1323,69,80,72
1324,72,103,69
1325,262,394,256
1326,148,224,157
1327,186,257,177
1328,45,57,48
1329,468,739,470
1330,152,199,151
1331,370,580,352
1332,94,142,99
1333,124,167,124
1334,147,213,143
1335,302,496,305
1336,201,290,183
1337,287,448,287
1338,115,162,124
1339,81,122,85
1340,124,163,116
1341,208,266,227
1342,54,70,60
1343,206,197,196
1344,215,211,218
1345,96,103,96
1346,211,227,196
1347,226,230,218
1348,101,93,93
1349,277,282,267
1350,122,126,113
1351,1237,1135,1058
1352,215,230,233
1353,476,499,479
1354,96,97,93
1355,231,220,215
1356,217,197,186
1357,422,421,407
1358,201,190,177
1359,180,163,165
1360,207,209,198
1361,368,376,372
1362,87,85,89
1363,206,194,187
1364,180,191,176
1365,269,261,244
1366,286,284,264
1367,202,183,191
1368,239,240,234
1369,508,463,515
1370,289,287,263
1371,807,693,765
1372,283,271,260
1373,3730,3061,3917
1374,581,534,487
1375,1453,1265,1398
1376,281,263,247
1377,792,645,709
1378,591,516,526
1379,1115,1030,1149
1380,434,445,418
1381,437,451,423
1382,873,838,894
1383,933,888,882
1384,197,184,180
1385,293,283,273
1386,435,396,396
1387,119,127,114
1388,234,232,231
1389,148,177,171
1390,346,391,358
1391,230,240,231
1392,100,96,93
1393,234,266,244
1394,128,136,126
1395,790,887,775
1396,137,156,152
1397,305,331,318
1398,94,99,94
1399,271,292,270
1400,234,252,228
1401,305,314,305
1402,174,176,178
1403,177,165,180
1404,109,105,104
1405,365,383,368
1406,107,118,113
1407,190,196,196
1408,177,199,190
1409,120,141,124
1410,203,215,211
1411,128,126,122
1412,107,104,108
1413,273,241,247
1414,209,225,216
1415,367,352,340
1416,126,129,118
1417,1911,1952,1971
1418,280,282,264
1419,806,816,777
1420,207,219,205
1421,414,416,403
1422,400,379,336
1423,858,828,801
1424,383,402,358
1425,312,349,309
1426,379,402,402
1427,349,362,362
1428,127,125,120
1429,177,184,181
1430,183,189,174
1431,142,141,147
1432,1373,1367,1407
1433,371,363,381
1434,73,78,62
1435,1084,1019,1150
1436,1012,922,1085
1437,1660,1412,1616
1438,677,610,622
1439,818,726,851
1440,590,467,542
1441,1387,1144,1321
1442,592,516,589
1443,2257,1944,2170
1444,1801,1535,1831
1445,704,603,669
1446,551,486,544
1447,547,563,618
1448,371,308,391
1449,686,627,664
1450,222,193,212
1451,526,491,504
1452,491,476,501
1453,130,129,129
1454,312,276,318
1455,300,228,303
1456,67,66,65
1457,547,403,528
1458,553,435,537
1459,944,678,896
1460,305,235,313
1461,2023,1623,1931
1462,346,257,348
1463,1010,711,953
1464,394,321,399
1465,1422,866,1308
1466,1182,781,1142
1467,528,444,506
1468,537,423,518
1469,605,467,636
1470,177,167,186
1471,197,179,206
1472,266,239,274
1473,250,221,263
1474,254,207,256
1475,915,1029,943
1476,163,164,151
1477,131,162,137
1478,870,921,827
1479,269,268,300
1480,305,298,310
1481,858,921,860
1482,156,169,148
1483,673,726,725
1484,91,81,76
1485,968,1042,1028
1486,198,211,197
1487,600,627,608
1488,634,692,625
1489,649,632,550
1490,169,172,147
1491,130,150,123
1492,215,225,213
1493,363,341,323
1494,133,143,148
1495,208,211,186
1496,229,268,227
1497,119,146,123
1498,48,65,48
1499,27,33,27
1500,42,54,44
1501,140,174,147
1502,128,184,142
1503,106,148,117
1504,36,45,35
1505,128,164,133
1506,49,75,55
1507,364,478,352
1508,72,99,75
1509,92,118,93
1510,106,147,112
1511,245,321,247
1512,104,135,101
1513,74,109,81
1514,65,90,63
1515,37,47,36
1516,50,67,47
1517,61,85,66
1518,17,23,18
1519,415,387,450
1520,214,211,217
1521,196,178,204
1522,242,245,252
1523,483,405,467
1524,427,383,437
1525,486,441,522
1526,238,202,245
1527,358,379,389
1528,196,182,206
1529,729,746,744
1530,415,387,415
1531,393,350,398
1532,500,446,521
1533,469,462,482
1534,495,415,478
1535,454,398,469
1536,249,228,262
1537,194,169,198
1538,201,197,219
1539,193,179,203
1540,111,109,125
1541,229,263,269
1542,185,178,189
1543,171,145,163
1544,47,44,48
1545,768,678,760
1546,594,590,594
1547,1081,941,1074
1548,268,271,285
1549,556,491,593
1550,284,258,280
1551,1824,1452,1757
1552,456,440,454
1553,860,705,822
1554,927,763,865
1555,983,892,1008
1556,403,419,438
1557,459,469,495
1558,437,437,494
1559,177,178,194
1560,206,203,201
1561,233,251,255
1562,138,125,127
1563,52,63,49
1564,236,275,230
1565,162,150,150
1566,141,137,126
1567,677,718,745
1568,396,400,379
1569,909,857,862
1570,345,349,341
1571,467,448,452
1572,345,332,337
1573,672,616,616
1574,354,355,349
1575,734,699,755
1576,905,911,862
1577,906,830,870
1578,332,341,321
1579,408,453,420
1580,369,403,410
1581,133,139,126
1582,290,305,280
1583,456,481,433
1584,75,74,67
1585,43,42,36
1586,230,285,243
1587,182,193,183
1588,53,53,51
1589,532,540,538
1590,268,318,270
1591,755,759,717
1592,393,431,383
1593,397,401,421
1594,232,269,246
1595,413,437,438
1596,199,218,208
1597,885,910,875
1598,733,746,720
1599,330,339,362
1600,226,257,229
1601,307,373,319
1602,145,156,162
1603,189,233,187
1604,204,226,194
1605,342,399,361
1606,172,177,164
1607,84,95,79
1608,540,503,549
1609,359,341,341
1610,65,64,61
1611,808,752,808
1612,561,565,613
1613,891,801,859
1614,448,389,439
1615,416,405,398
1616,324,304,334
1617,783,799,766
1618,410,364,392
1619,1079,994,1061
1620,899,784,851
1621,572,559,562
1622,443,406,450
1623,404,380,424
1624,260,276,263
1625,248,229,228
1626,230,247,229
1627,396,386,405
1628,390,341,380
