id,ad_ry_mean,md_ry_mean,bt_ry_mean
285,615,659,539
286,440,447,467
287,241,273,301
288,959,937,760
289,673,709,590
290,159,170,233
291,1851,1727,1373
292,1732,1692,1227
293,2445,2637,2381
294,729,711,675
295,1272,1275,1518
296,654,708,542
297,2033,1941,1842
298,1061,1067,842
299,1971,1827,1777
300,2861,3065,2381
301,1286,1343,1335
302,1588,1643,1138
303,1912,1799,1295
304,546,678,571
305,669,768,836
306,748,727,556
307,765,814,669
308,568,623,601
309,588,613,472
310,394,424,373
311,390,424,361
312,718,751,520
313,749,796,675
314,696,799,613
315,1251,1256,1025
316,535,594,511
317,456,457,519
318,166,176,189
319,1591,1513,1114
320,334,353,320
321,1205,1270,973
322,1038,1091,834
323,607,659,599
324,336,380,347
325,461,482,424
326,219,242,230
327,168,175,206
328,402,439,341
329,503,561,396
330,89,94,117
331,61,55,91
332,837,831,906
333,734,642,677
334,159,145,239
335,1983,1880,1733
336,304,318,401
337,2004,2112,2332
338,716,732,896
339,1427,1266,1479
340,435,421,348
341,589,528,713
342,314,292,319
343,2366,2081,2336
344,1469,1351,1452
345,497,461,672
346,379,387,431
347,1208,1084,1012
348,352,368,473
349,599,633,912
350,184,184,219
351,496,506,543
352,1120,1067,1162
353,985,1208,998
354,770,915,958
355,424,456,479
356,236,247,281
357,1286,1309,1561
358,1637,1733,1552
359,2061,2517,2407
360,922,899,1124
361,722,635,1279
362,406,462,530
363,2555,2658,2429
364,955,1171,1087
365,2329,2424,2407
366,1803,2008,2585
367,1210,1262,1322
368,887,912,977
369,1258,1309,1258
370,664,677,818
371,326,384,550
372,692,656,729
373,790,859,867
374,244,283,347
375,228,245,264
376,425,483,445
377,490,538,458
378,76,75,129
379,1144,1224,972
380,606,707,587
381,1888,2250,1996
382,927,1030,830
383,503,461,604
384,205,224,153
385,938,959,884
386,343,410,291
387,1988,2032,1842
388,1276,1434,1194
389,498,485,593
390,225,237,262
391,464,485,428
392,258,289,318
393,392,489,581
394,251,288,220
395,594,679,530
396,462,499,527
397,253,242,258
398,390,400,334
399,451,453,395
400,825,642,643
401,1150,1230,926
402,658,660,561
403,1453,1529,1313
404,363,404,391
405,918,859,888
406,212,216,227
407,1102,1116,981
408,329,353,308
409,1342,1386,1163
410,1473,1588,1160
411,698,700,749
412,559,595,504
413,473,470,436
414,488,496,495
415,550,655,620
416,374,353,298
417,499,489,430
418,704,697,633
419,429,392,394
420,307,260,281
421,131,120,140
422,178,193,229
423,356,313,529
424,478,458,475
425,565,528,709
426,101,92,137
427,462,464,597
428,163,157,180
429,735,674,788
430,362,314,341
431,429,375,471
432,444,381,460
433,928,836,894
434,426,403,383
435,529,484,474
436,263,255,278
437,155,146,213
438,213,221,209
439,202,192,232
440,157,137,180
441,352,325,403
442,406,407,451
443,445,420,455
444,271,284,353
445,1604,1431,1671
446,1006,991,1072
447,1380,1276,1813
448,439,433,503
449,603,496,1056
450,287,281,351
451,1772,1488,1867
452,453,452,494
453,2126,1775,2247
454,1824,1721,2247
455,1280,1264,1549
456,715,697,776
457,608,579,752
458,436,430,472
459,495,477,694
460,399,354,391
461,492,479,572
462,433,425,496
463,375,386,564
464,159,189,255
465,160,167,236
466,356,350,428
467,566,557,726
468,358,382,529
469,995,1060,1536
470,138,148,238
471,427,406,641
472,114,122,184
473,1200,1214,1543
474,216,229,309
475,913,857,1248
476,749,769,983
477,988,1030,1230
478,261,301,417
479,265,274,390
480,196,212,288
481,145,163,283
482,90,99,147
483,228,246,342
484,158,150,229
485,32,29,46
486,44,42,51
487,70,53,62
488,31,27,46
489,180,138,155
490,249,214,258
491,531,466,378
492,199,142,151
493,102,84,125
494,61,50,55
495,165,145,164
496,66,61,62
497,390,328,333
498,271,196,203
499,65,54,84
500,154,132,142
501,153,136,144
502,43,40,62
503,110,85,119
504,76,61,68
505,107,98,90
506,82,71,88
507,667,673,511
508,175,179,175
509,114,105,121
510,664,701,533
511,528,604,504
512,347,333,320
513,530,535,503
514,152,145,142
515,1182,1086,1000
516,163,166,160
517,1498,1470,1054
518,230,229,241
519,412,418,411
520,307,321,346
521,1347,1332,979
522,370,364,337
523,336,348,335
524,452,452,356
525,242,233,236
526,219,204,192
527,241,221,230
528,100,96,117
529,239,240,257
530,158,162,166
531,90,85,91
532,236,220,233
533,387,393,384
534,199,210,229
535,303,283,314
536,98,88,95
537,535,487,496
538,101,104,92
539,764,708,667
540,126,136,135
541,215,214,261
542,195,195,227
543,647,620,590
544,261,256,265
545,195,205,227
546,203,211,235
547,103,101,125
548,129,125,130
549,129,139,142
550,61,61,77
551,654,666,481
552,268,310,246
553,116,133,115
554,829,832,579
555,749,755,545
556,296,323,294
557,659,652,521
558,152,174,147
559,1216,1148,867
560,170,181,155
561,1293,1238,854
562,216,247,203
563,334,368,299
564,379,416,337
565,1125,1118,809
566,458,533,372
567,316,367,301
568,387,433,333
569,243,278,253
570,227,242,210
571,244,289,244
572,99,105,107
573,124,133,123
574,46,44,51
575,23,26,32
576,96,109,97
577,112,111,179
578,70,71,89
579,139,132,187
580,25,30,35
581,121,124,175
582,35,37,47
583,274,280,323
584,34,35,52
585,109,96,114
586,94,83,111
587,277,262,344
588,84,81,89
589,70,70,88
590,41,47,60
591,43,41,62
592,30,34,48
593,61,68,65
594,18,21,30
595,709,724,503
596,271,310,270
597,203,211,177
598,457,506,415
599,701,814,653
600,569,613,451
601,706,813,635
602,179,183,179
603,822,867,725
604,162,174,172
605,1426,1440,1030
606,352,376,296
607,556,588,518
608,513,531,488
609,1447,1416,1074
610,546,606,412
611,472,523,410
612,364,398,326
613,399,478,392
614,256,244,239
615,405,456,340
616,183,181,172
617,281,315,303
618,112,113,134
619,100,93,125
620,198,217,235
621,211,204,354
622,190,208,259
623,360,379,434
624,86,80,122
625,274,251,483
626,88,86,111
627,524,502,592
628,135,134,184
629,205,213,285
630,194,200,282
631,334,357,622
632,271,298,315
633,180,201,246
634,173,182,210
635,107,100,175
636,80,87,114
637,124,131,157
638,65,55,102
639,578,599,498
640,260,252,271
641,196,173,172
642,371,397,488
643,593,652,699
644,374,374,348
645,507,592,641
646,136,117,150
647,943,974,1012
648,188,180,183
649,985,991,997
650,283,271,300
651,313,318,467
652,307,331,395
653,924,985,998
654,509,535,412
655,424,434,404
656,288,304,300
657,309,328,362
658,222,201,213
659,283,311,275
660,123,116,132
661,561,529,438
662,256,276,244
663,68,79,75
664,551,532,466
665,346,368,547
666,424,420,400
667,582,557,531
668,68,82,85
669,1026,925,962
670,193,204,198
671,1084,991,873
672,219,238,229
673,474,455,430
674,431,441,407
675,1283,1173,967
676,359,371,332
677,415,446,402
678,399,406,358
679,189,194,217
680,240,240,214
681,230,248,236
682,63,75,65
683,212,226,249
684,686,653,541
685,189,199,215
686,81,77,112
687,401,371,471
688,1201,1117,783
689,1373,1443,1542
690,526,497,454
691,1934,1950,2395
692,1360,1357,1122
693,1000,953,1117
694,529,506,438
695,908,817,988
696,2324,2287,1973
697,581,521,711
698,686,656,546
699,530,477,554
700,312,320,342
701,389,406,431
702,181,181,182
703,678,675,518
704,410,432,432
705,300,349,312
706,133,132,148
707,178,152,190
708,58,45,98
709,460,404,466
710,223,197,233
711,613,519,671
712,123,103,163
713,157,128,241
714,81,80,111
715,686,583,722
716,165,156,184
717,400,366,472
718,313,289,373
719,298,298,407
720,132,130,184
721,237,240,287
722,122,108,167
723,50,48,117
724,92,86,115
725,313,323,347
726,63,52,99
727,356,358,268
728,134,143,128
729,54,51,61
730,137,126,140
731,228,246,278
732,166,168,177
733,252,266,314
734,60,54,77
735,147,127,144
736,38,37,49
737,346,354,372
738,93,78,105
739,199,178,218
740,202,191,222
741,280,265,292
742,119,105,116
743,144,145,164
744,94,99,87
745,52,61,68
746,68,64,78
747,144,144,144
748,27,27,47
749,188,190,221
750,56,65,84
751,91,88,109
752,525,535,393
753,585,564,469
754,205,207,274
755,569,656,578
756,134,129,168
757,1718,1554,1398
758,279,281,246
759,664,699,603
760,230,252,256
761,348,361,441
762,342,340,372
763,568,651,594
764,534,525,455
765,404,420,414
766,505,511,404
767,199,207,243
768,334,335,271
769,132,150,183
770,221,263,374
771,177,174,228
772,308,298,274
773,535,475,431
774,665,598,486
775,960,923,724
776,237,212,275
777,743,705,717
778,266,267,282
779,1713,1595,1408
780,315,302,284
781,652,620,625
782,348,331,321
783,866,858,766
784,768,728,646
785,587,574,612
786,1299,1192,904
787,615,586,512
788,359,358,319
789,543,557,546
790,488,442,350
791,599,555,448
792,333,305,316
793,75,69,108
794,109,102,117
795,92,82,106
796,32,36,60
797,265,233,236
798,127,115,142
799,188,182,207
800,88,73,110
801,488,388,453
802,122,122,110
803,311,296,318
804,170,155,148
805,168,160,193
806,263,214,248
807,299,274,334
808,150,156,161
809,198,206,199
810,131,127,139
811,79,79,112
812,120,104,112
813,106,105,132
814,65,58,80
815,244,262,376
816,226,229,307
817,281,293,319
818,229,224,325
819,838,874,961
820,508,548,608
821,1562,1867,2085
822,614,673,740
823,4143,4310,4304
824,1345,1539,1530
825,1806,1795,1950
826,869,958,902
827,1317,1387,1566
828,1366,1528,1593
829,1044,1081,1292
830,849,857,885
831,1313,1314,1283
832,820,901,910
833,919,1027,1157
834,335,366,371
835,325,331,412
836,461,536,556
837,173,167,241
838,294,308,368
839,278,280,317
840,246,233,294
841,343,403,463
842,296,300,420
843,594,649,887
844,313,325,398
845,1654,1613,1748
846,249,251,280
847,561,557,727
848,261,277,325
849,542,597,712
850,680,769,920
851,470,521,658
852,802,799,878
853,427,453,542
854,358,367,439
855,439,464,589
856,185,173,240
857,299,292,364
858,343,347,444
859,163,174,218
860,390,429,359
861,281,265,282
862,134,155,175
863,472,466,449
864,480,498,424
865,769,778,717
866,264,261,293
867,2210,1926,1746
868,360,371,335
869,1106,1059,893
870,309,331,323
871,704,675,652
872,912,877,673
873,927,875,756
874,795,826,569
875,452,472,423
876,481,495,399
877,368,386,398
878,175,180,189
879,260,275,297
880,273,261,275
881,160,124,155
882,18,15,23
883,26,18,24
884,269,226,232
885,48,42,32
886,59,41,42
887,298,274,249
888,101,68,89
889,862,773,569
890,24,18,23
891,380,305,316
892,37,30,32
893,287,244,258
894,173,157,151
895,370,310,306
896,68,45,50
897,46,32,36
898,69,48,50
899,100,75,97
900,23,17,22
901,33,29,28
902,51,35,48
903,155,157,195
904,309,299,324
905,132,119,173
906,139,138,171
907,569,528,565
908,277,270,314
909,546,501,639
910,236,200,294
911,2076,1846,2356
912,320,306,339
913,650,609,657
914,306,314,316
915,500,457,604
916,512,433,546
917,773,678,745
918,632,585,571
919,462,423,487
920,571,542,493
921,288,297,390
922,158,156,177
923,186,193,246
924,148,129,181
925,174,195,275
926,108,127,156
927,162,161,177
928,306,315,332
929,388,409,447
930,259,297,309
931,717,737,682
932,289,296,334
933,1621,1501,1733
934,150,148,166
935,803,814,745
936,196,204,217
937,681,695,696
938,459,468,498
939,1022,1036,954
940,392,464,409
941,394,410,401
942,296,330,297
943,558,601,570
944,125,133,152
945,188,202,205
946,264,258,275
947,248,239,226
948,57,61,61
949,50,53,67
950,420,439,368
951,315,321,379
952,131,125,144
953,259,251,310
954,45,48,60
955,384,368,386
956,63,62,64
957,273,268,272
958,75,80,96
959,187,172,198
960,140,140,160
961,139,137,141
962,150,156,151
963,177,178,189
964,103,101,100
965,92,99,133
966,132,137,119
967,163,161,169
968,64,66,69
969,76,61,81
970,67,54,63
971,62,40,58
972,16,15,26
973,144,142,142
974,249,234,211
975,312,309,292
976,77,58,71
977,348,300,337
978,48,33,42
979,394,371,315
980,192,173,145
981,215,208,207
982,389,348,272
983,422,366,341
984,157,142,138
985,168,159,158
986,123,99,106
987,40,31,56
988,34,22,41
989,74,84,81
990,29,22,38
991,49,58,82
992,48,52,36
993,36,34,25
994,47,57,49
995,39,46,51
996,105,124,82
997,300,281,222
998,14,16,19
999,32,32,31
1000,17,18,17
1001,163,177,122
1002,66,68,50
1003,175,177,134
1004,114,130,90
1005,162,162,130
1006,111,114,81
1007,163,177,130
1008,40,41,29
1009,32,45,39
1010,16,19,17
1011,58,75,52
1012,22,25,17
1013,185,242,224
1014,90,98,127
1015,66,62,86
1016,93,99,125
1017,662,631,506
1018,584,623,444
1019,570,546,562
1020,101,96,116
1021,778,729,835
1022,114,121,121
1023,1468,1521,1196
1024,388,438,336
1025,385,349,396
1026,1256,1142,992
1027,941,928,930
1028,419,449,349
1029,396,398,361
1030,301,289,257
1031,94,96,141
1032,237,253,195
1033,199,191,206
1034,63,55,84
1035,21,23,23
1036,105,110,113
1037,157,140,137
1038,16,16,25
1039,256,228,187
1040,152,143,157
1041,531,489,369
1042,268,224,184
1043,190,145,166
1044,154,146,121
1045,176,157,153
1046,117,106,110
1047,704,604,448
1048,411,364,278
1049,267,220,198
1050,80,78,77
1051,141,102,131
1052,105,96,107
1053,208,190,173
1054,32,36,36
1055,151,140,120
1056,143,119,124
1057,167,196,222
1058,161,172,167
1059,135,129,157
1060,153,149,161
1061,517,498,412
1062,617,600,459
1063,498,477,564
1064,126,126,168
1065,462,454,522
1066,119,115,138
1067,722,662,637
1068,377,417,335
1069,533,476,535
1070,923,773,749
1071,700,637,701
1072,421,395,371
1073,376,364,368
1074,185,170,207
1075,89,91,180
1076,163,163,164
1077,210,197,226
1078,73,63,123
1079,102,110,131
1080,135,127,148
1081,33,30,52
1082,52,53,64
1083,295,280,327
1084,187,169,198
1085,359,336,361
1086,60,50,73
1087,339,297,349
1088,99,95,108
1089,578,512,477
1090,152,136,167
1091,277,260,300
1092,326,305,349
1093,306,255,346
1094,146,149,166
1095,153,162,199
1096,177,151,173
1097,41,38,62
1098,117,102,112
1099,133,128,153
1100,32,30,47
1123,275,302,290
1124,212,201,221
1125,41,41,53
1126,76,75,104
1127,496,512,504
1128,529,544,474
1129,387,396,438
1130,56,55,64
1131,806,691,832
1132,193,189,201
1133,856,786,817
1134,262,260,256
1135,341,352,396
1136,487,483,520
1137,835,769,748
1138,387,395,375
1139,326,346,367
1140,380,405,348
1141,69,72,112
1142,284,290,282
1143,168,172,197
1144,45,49,52
1145,326,322,270
1146,378,359,289
1147,206,193,204
1148,466,442,330
1149,390,386,475
1150,263,264,253
1151,686,646,559
1152,170,144,170
1153,853,824,779
1154,216,189,188
1155,620,584,521
1156,222,208,204
1157,574,558,468
1158,522,513,437
1159,386,368,372
1160,358,371,304
1161,417,424,359
1162,218,206,201
1163,227,234,240
1164,410,386,280
1165,279,282,261
1166,244,235,231
1167,169,196,200
1168,201,214,194
1169,147,137,157
1170,88,112,101
1171,288,257,359
1172,1006,866,663
1173,913,806,671
1174,241,196,247
1175,265,266,443
1176,311,299,246
1177,1012,898,669
1178,318,322,300
1179,580,490,466
1180,1463,1223,865
1181,434,394,446
1182,400,323,292
1183,643,545,437
1184,347,365,338
1185,100,108,152
1186,329,300,223
1187,486,486,380
1188,84,71,108
1189,29,15,35
1190,89,67,63
1191,138,122,90
1192,33,29,37
1193,150,147,107
1194,140,134,117
1195,325,307,249
1196,84,63,72
1197,46,37,53
1198,22,13,24
1199,88,98,92
1200,123,102,90
1201,191,192,153
1202,338,290,216
1203,53,46,67
1204,161,162,111
1205,417,442,275
1206,19,13,27
1207,49,34,57
1208,106,77,64
1209,258,261,164
1210,71,57,54
1211,73,83,127
1212,252,239,228
1213,252,211,243
1214,95,94,138
1215,801,706,636
1216,261,253,257
1217,520,505,500
1218,416,395,354
1219,418,385,415
1220,155,145,160
1221,463,459,428
1222,234,225,209
1223,902,783,732
1224,693,647,525
1225,229,231,307
1226,227,218,224
1227,395,400,355
1228,122,117,168
1229,94,96,157
1230,423,438,325
1231,508,485,404
1232,86,84,131
1233,275,268,327
1234,628,637,500
1235,593,565,490
1236,161,160,225
1237,1234,1137,1065
1238,657,671,547
1239,598,549,809
1240,424,418,470
1241,715,626,900
1242,283,275,303
1243,1014,928,1058
1244,328,315,350
1245,859,806,948
1246,1045,986,1038
1247,770,707,1069
1248,541,548,469
1249,786,701,751
1250,324,333,387
1251,185,189,282
1252,1374,1273,843
1253,613,566,600
1254,185,195,253
1255,23,25,28
1256,774,710,488
1257,57,56,58
1258,65,64,72
1259,444,458,415
1260,207,206,203
1261,303,278,281
1262,98,94,79
1263,381,344,418
1264,40,40,39
1265,548,517,449
1266,89,98,92
1267,481,449,421
1268,846,751,625
1269,223,218,228
1270,340,372,327
1271,213,242,200
1272,82,82,83
1273,135,128,133
1274,427,394,310
1275,149,151,140
1276,29,28,34
1277,48,32,83
1278,104,93,96
1279,66,44,68
1280,51,42,84
1281,449,393,359
1282,95,67,115
1283,214,201,250
1284,102,71,100
1285,212,198,225
1286,82,58,91
1287,193,166,268
1288,89,62,98
1289,358,340,350
1290,393,356,306
1291,125,98,191
1292,44,36,66
1293,161,150,171
1294,61,40,89
1295,15,10,25
1296,367,319,248
1297,260,254,200
1298,9,7,20
1299,124,140,192
1300,48,43,83
1301,71,56,89
1302,38,35,58
1303,237,222,265
1304,278,253,315
1305,287,220,358
1306,97,70,125
1307,267,239,373
1308,104,93,136
1309,576,472,515
1310,185,169,240
1311,210,159,287
1312,637,496,551
1313,248,196,331
1314,207,188,233
1315,236,224,284
1316,79,84,127
1317,49,34,78
1318,55,42,77
1319,146,130,172
1320,14,12,27
1321,86,86,89
1322,99,89,86
1323,70,58,65
1324,58,61,61
1325,261,265,291
1326,159,150,135
1327,144,132,190
1328,40,34,47
1329,431,440,401
1330,163,160,118
1331,335,331,341
1332,89,89,81
1333,111,101,130
1334,129,115,142
1335,342,308,302
1336,178,168,157
1337,318,305,282
1338,108,95,98
1339,89,84,102
1340,114,107,100
1341,204,209,178
1342,58,52,61
1343,179,188,203
1344,241,233,236
1345,111,111,115
1346,245,228,189
1347,257,258,275
1348,97,105,135
1349,300,277,303
1350,121,122,125
1351,1375,1174,1400
1352,263,247,222
1353,539,552,572
1354,103,99,130
1355,239,244,269
1356,206,221,252
1357,477,471,499
1358,202,207,199
1359,199,193,197
1360,213,228,238
1361,427,402,393
1362,80,77,93
1363,201,224,232
1364,196,184,187
1365,284,274,289
1366,371,350,325
1367,224,227,270
1368,256,228,219
1369,304,323,503
1370,315,339,342
1371,731,781,920
1372,319,312,353
1373,3611,3236,3328
1374,763,693,571
1375,899,909,1195
1376,351,345,345
1377,737,713,849
1378,579,611,737
1379,1150,1192,1080
1380,518,501,502
1381,449,473,501
1382,928,941,793
1383,1269,1253,1013
1384,198,221,215
1385,332,341,364
1386,591,571,526
1387,100,96,114
1388,267,259,244
1389,171,174,158
1390,404,386,278
1391,260,255,252
1392,90,86,123
1393,268,252,301
1394,120,110,121
1395,1220,1146,874
1396,151,148,139
1397,329,347,343
1398,85,82,123
1399,287,275,285
1400,240,242,273
1401,356,347,375
1402,191,179,179
1403,180,171,192
1404,89,89,115
1405,392,386,340
1406,109,104,116
1407,194,193,186
1408,175,173,168
1409,84,93,141
1410,179,177,211
1411,89,93,156
1412,90,95,126
1413,227,248,286
1414,158,150,237
1415,219,225,447
1416,77,80,142
1417,2172,2166,2166
1418,258,270,279
1419,672,748,729
1420,161,170,265
1421,283,301,455
1422,301,303,467
1423,726,774,763
1424,295,315,451
1425,270,259,384
1426,307,342,389
1427,257,249,382
1428,102,96,122
1429,130,145,226
1430,123,132,203
1431,175,156,170
1432,1741,1743,1627
1433,574,556,391
1434,81,62,103
1435,1071,1190,919
1436,1571,1532,946
1437,1858,2130,1755
1438,822,860,884
1439,1181,1111,1136
1440,791,851,864
1441,1704,1799,1282
1442,910,826,602
1443,2738,2750,2158
1444,2007,2414,1745
1445,703,637,834
1446,640,703,694
1447,705,797,767
1448,564,495,346
1449,963,829,632
1450,299,272,217
1451,684,692,725
1452,594,576,437
1453,152,145,211
1454,382,373,357
1455,359,313,364
1456,75,68,111
1457,405,437,575
1458,636,584,690
1459,728,733,1224
1460,375,349,423
1461,2305,1982,2439
1462,399,376,384
1463,846,811,1128
1464,435,419,511
1465,1210,1086,1388
1466,1174,1193,1438
1467,512,514,781
1468,529,550,654
1469,651,650,750
1470,208,225,298
1471,248,252,313
1472,317,279,296
1473,314,300,378
1474,289,271,315
1475,1018,992,610
1476,179,210,193
1477,124,128,140
1478,1208,1035,637
1479,281,312,289
1480,281,298,262
1481,1033,974,861
1482,235,230,197
1483,958,861,736
1484,96,103,116
1485,1143,1169,863
1486,166,166,166
1487,644,681,567
1488,717,771,637
1489,816,802,675
1490,229,215,204
1491,174,183,184
1492,206,202,182
1493,262,284,244
1494,102,106,117
1495,302,330,278
1496,175,192,175
1497,149,157,155
1498,43,44,60
1499,24,23,43
1500,48,47,58
1501,148,141,190
1502,160,177,185
1503,110,120,170
1504,26,27,47
1505,154,138,268
1506,50,51,65
1507,396,424,429
1508,72,76,94
1509,93,86,125
1510,115,124,169
1511,256,238,342
1512,108,119,135
1513,80,81,106
1514,59,61,90
1515,25,25,51
1516,42,40,56
1517,63,58,86
1518,12,11,26
1519,597,556,490
1520,292,293,270
1521,243,231,285
1522,324,290,268
1523,326,336,503
1524,497,501,520
1525,335,326,595
1526,286,270,330
1527,431,390,611
1528,240,237,255
1529,454,512,702
1530,554,508,532
1531,459,435,568
1532,611,575,635
1533,595,583,627
1534,549,548,598
1535,497,530,551
1536,308,301,314
1537,199,204,259
1538,256,242,246
1539,231,228,288
1540,135,132,168
1541,320,326,383
1542,211,244,274
1543,216,188,237
1544,51,51,63
1545,464,506,794
1546,801,878,862
1547,870,874,1429
1548,346,328,480
1549,511,423,1153
1550,341,347,390
1551,1573,1622,1939
1552,578,625,700
1553,854,846,1081
1554,567,598,1151
1555,1041,1068,1261
1556,545,575,690
1557,548,624,726
1558,551,563,621
1559,186,195,332
1560,215,223,273
1561,323,300,407
1562,150,132,181
1563,48,54,110
1564,232,247,244
1565,149,155,196
1566,106,125,197
1567,772,770,661
1568,466,437,449
1569,852,820,948
1570,380,389,384
1571,652,550,768
1572,387,403,346
1573,672,658,724
1574,351,380,435
1575,807,765,795
1576,979,968,969
1577,780,753,1054
1578,371,399,384
1579,428,456,479
1580,391,471,464
1581,121,137,186
1582,267,259,257
1583,457,534,558
1584,68,66,96
1585,40,45,59
1586,318,338,252
1587,208,220,211
1588,56,71,68
1589,579,585,471
1590,385,384,305
1591,857,802,672
1592,503,445,384
1593,524,485,521
1594,323,322,229
1595,514,503,457
1596,293,276,253
1597,1052,995,684
1598,900,844,653
1599,410,391,405
1600,335,312,256
1601,410,398,346
1602,174,192,201
1603,229,242,221
1604,254,265,202
1605,458,450,383
1606,188,195,184
1607,58,53,90
1608,538,581,381
1609,343,335,284
1610,68,57,61
1611,839,1030,658
1612,553,606,481
1613,1022,1029,854
1614,437,478,422
1615,562,523,596
1616,293,323,223
1617,831,932,731
1618,350,381,344
1619,1184,1183,869
1620,1000,1079,799
1621,559,553,668
1622,413,462,432
1623,401,450,367
1624,265,288,230
1625,171,190,205
1626,215,256,183
